,tweets
0,"""AI, NOSSA, O MERCADO""

o mercado me parece tranquilão sendo que a gente acabou de sair de um golpe de estado"
1,"This Canva new update will transform your entire freelance journey. 

#learnontwitter #thesocialmediaoga"
2,$AITX Calling all social media enthusiasts! Help us improve our outreach by completing this short survey. Your input is invaluable! #SocialMedia #Survey #Feedback
3,"The Hardest Photo On Social Media Right Now.

Vote Gbadebo Rhodes-Vivour For Governor Of Lagos State. #ItusilẹEko"
4,"oi gente! to disponível pra trabalho freelancer de social media, caso vocês conheçam alguém que estiver precisando podem me indicar! 

meu Behance: http://behance.net/whittelab
meu gmail: whittelab@hotmail.com

abaixo um exemplo de freela que eu fiz pra Sociedade Beneficente 13M"
5,"CloutNews reported that jimin is rumored to be attending The Dior show at Paris Fashion Week 

[There have been rumors on social media that Dior may be planning to bring Park Jimin of BTS, Kim Jisoo of BLACKPINK, and Jung Haein together for the Dior show at Paris Fashion Week on+"
6,".
@MileyCyrus
’ new single “FLOWERS” announcement gathered more than 100 million views with its teasers on social media!"
7,Top notch Social media and editing skills from Rafa's IG 
8,social media hasn’t ruined dating ur just sleeping with men who don’t care about u
9,dont ever watch my social media thinking you know something because you dont
10,"Minutes after Damar Hamlin collapsed, conspiracy theorists and anti-vaxxers flooded Twitter with COVID-19 disinformation and conspiracy theories. COVID-19 disinformation is dangerous, and we desperately need legislation to address disinformation on social media platforms."
11," No social media posts everyday.
 No scandals.
 No drama.
 No noise.
 Signed for FREE.
 Never complained about salary.
 Never complained about playing time.

Andreas Christensen, the unsung hero of FC Barcelona. "
12,"Social media platforms should support free expression, not censorship."
13,Gwyneth Paltrow recalls '90s nightlife before social media: 'You could do cocaine and not get caught'
14,"Kelly we are about the same age. I understand the global outcry. And we both know what it means to be different. In whatever way. The social media platforms give us space to finally be what we are. Help us please. 

KELLY SAVE OUR NUNS 
#SaveWarriorNun #WarriorNun 
@kellyclarkson"
15,"I can't sit back and say nothing. If you are sharing pictures of the human remains found Saturday on social media, please remove them! That person needs to be treated with due respect. Remember, It's someone's family member, a loved one. They are human. Instead, pray for them."
16,"Dmk taking it from social media to ground through posters 
This is serious politics 

#GetOutRavi"
17,"Hey 
@Rob_Flaherty
 — When are you going to apologize to the American people for using our tax dollars to bully social media companies into unconstitutionally restricting our speech? And/or have the decency to resign? 
@RFlaherty46"
18,"It’s important to realise MPs like you are paid by the British Tax Payer and that we suffer most when you arse around on social media making political capital from 12 years of running down our public services.
You are a public servant. You answer to us.
Remember this. #pensioner"
19,"OPINION: #IrelandIsFull Without social media, the Irish public would have no idea the government are placing migrants left, right and centre into their communities - https://theliberal.ie/opinion-irelandisfull-without-social-media-the-irish-public-would-have-no-idea-the-government-are-placing-migrants-left-right-and-centre-into-their-communities/…"
20,“you should get off social media for your mental health” and do what? spend more time with my THOUGHTS?! no thanks
21,"I know it’s been a rough year with Russ and I truly believe brighter days are ahead but I’m just going to say, as we watch Aaron Rodgers walk off the field tonight, I’m THRILLED #BroncosCountry doesn’t have to decipher his cryptic social media posts and interviews this offseason"
22,"ANTI-VAXXERS are furiously lashing out as grim stories of anti-vax influencers who have tragically died from Covid-19 circulate on social media. The groups, who depend on disinformation, say they're extremely upset as real stories are used to combat disinformation. #auspol"
23,"SuperSport/DStv officials tell me they have no plans to show the Saudi Arabia Pro League next season or anytime soon, contrary to trending social media posts.

They acknowledge Ronaldo's move there is big, but consider it premature to buy broadcast rights."
24,...He dey always turn up!
25,"Producer & Director of #Salaar & #Kgf Franchise Deactivated Their Accounts on Social Media

#सालनहीं_Salaarहै #Prabhas"
26,"If your a trader and you see that price action right now is not the best for high probability setups but see other people posting their trades on social media, just remember there’s a reason why 90% of people are failing. Your doing fine don’t get tempted and fooled."
27,LILLEY: Jordan Peterson launches court challenge as College of Psychologists attempts to pull licence over social media posts.
28,"“This case is about the Biden Administration’s blatant disregard for the First Amendment.”

2 attorneys general released docs showing what they say is the 
@WhiteHouse
’s pressure campaign on #Facebook to censor content, including a video by 
@TuckerCarlson
."
29,"If you don't think the FBI & Big Tech would censor a new MLK, consider the following:

1. MLK was accused of inciting ""hatred and violence""

2. FBI called MLK ""the most dangerous Negro"" to ""national security""

3. Americans rated MLK less favorable than Trump—even after Jan 6"
30,"Love, emotions, drama, action, comedy & every bit of entertainment 

4 years since this Blockbuster was celebrated on screens, on social media & among families and friends! A movie with a million memories and victories that were all because of you

#4YearsOfViswasam #Viswasam"
31,"sakusa and atsumu as the only ones left using the msby sharehouse and atsumu's social media ends up just him clowning the shit out of sakusa. his tiktok is just him filming sakusa while he's doing chores while the ""a single mom who works two jobs"" audio plays in the background"
